playlist_id,playlist_title,playlist_desc,published_at,channel_id,channel_title,item_count,thumb_default,thumb_medium,thumb_high
PLxKLMN7WdG5Cf8jBjttmyWmC4RRpNvBVt,Sê-ri GÌ CŨNG THỬ | Chỉ có trên Youtube Vie Channel - HTV2,"Sắp ra lò - Series ""Gì cũng thử"" - Thử hết những gì bạn chưa biết, chưa trải nghiệm, chưa từng kết hợp. Nhắc nhẹ khi xem: Coi chừng bị đau họng vì cười.",2019-10-12 07:01:10.855468+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,4,https://i.ytimg.com/vi/D9RTgHPVlX0/default.jpg,https://i.ytimg.com/vi/D9RTgHPVlX0/mqdefault.jpg,https://i.ytimg.com/vi/D9RTgHPVlX0/hqdefault.jpg
PLxKLMN7WdG5CHnFu-APYJiwQbzV1ExPp6,Đang phát sóng TÀI TIỂU TUYỆT,,2019-09-25 01:49:02.045008+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,0,https://i.ytimg.com/img/no_thumbnail.jpg,https://i.ytimg.com/img/no_thumbnail.jpg,https://i.ytimg.com/img/no_thumbnail.jpg
PLxKLMN7WdG5AuiwK3iz0zk1DeQjgCVh13,TV show dễ chơi nhất năm ĐƯA EM VỀ NHÀ | 21:00 Thứ 6,"Chỉ 1 câu hỏi - Trúng 1 xe hơi
Gameshow truyền hình duy nhất có giải thưởng là 1 chiếc xe hơi dành cho người chơi chính là khán giả",2019-09-03 14:11:55.089970+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,133,https://i.ytimg.com/vi/ozfvu-cfRxE/default.jpg,https://i.ytimg.com/vi/ozfvu-cfRxE/mqdefault.jpg,https://i.ytimg.com/vi/ozfvu-cfRxE/hqdefault.jpg
PLxKLMN7WdG5D8Kc-HdzKLCQokfcsGeKzh,Đang phát sóng MỸ NHÂN HÀNH ĐỘNG | 21H Thứ 6,"Thứ 6 hàng tuần || Lúc 21:00, trên kênh truyền hình Vie Channel - HTV2 || Lúc 21:30 trên YouTube",2019-08-19 08:21:16.865586+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,33,https://i.ytimg.com/vi/tGBuexShuFg/default.jpg,https://i.ytimg.com/vi/tGBuexShuFg/mqdefault.jpg,https://i.ytimg.com/vi/tGBuexShuFg/hqdefault.jpg
PLxKLMN7WdG5BEzpehTw7SB0BK4r5-kzAX,❖ ÔN VĨNH QUANG ❖ VÌ LẶNG IM GIẾT CHẾT CON TIM ❖,,2019-08-16 08:57:13.782485+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,3,https://i.ytimg.com/vi/wMHyvgG4gkc/default.jpg,https://i.ytimg.com/vi/wMHyvgG4gkc/mqdefault.jpg,https://i.ytimg.com/vi/wMHyvgG4gkc/hqdefault.jpg
PLxKLMN7WdG5C9hCkGhGRXtuIG6RRtk14l,Đang phát sóng AI CŨNG BẬT CƯỜI,,2019-08-08 09:48:55.340067+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,25,https://i.ytimg.com/vi/W0CImRPEIE4/default.jpg,https://i.ytimg.com/vi/W0CImRPEIE4/mqdefault.jpg,https://i.ytimg.com/vi/W0CImRPEIE4/hqdefault.jpg
PLxKLMN7WdG5ACzT3oGVL4o3m6irc5UgCO,TV show hài hước nhất AI LÀ SỐ 1? | 20:00 CN,Phát sóng lúc 20:00 trên truyền hình Vie Channel - HTV2 | 21:00 trên Youtube,2019-07-30 06:29:39.164941+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,158,https://i.ytimg.com/vi/D8_TM6Q6wg0/default.jpg,https://i.ytimg.com/vi/D8_TM6Q6wg0/mqdefault.jpg,https://i.ytimg.com/vi/D8_TM6Q6wg0/hqdefault.jpg
PLxKLMN7WdG5BbLFjC5J76EoosFWNlWT7p,TV show của năm SIÊU TRÍ TUỆ VIỆT NAM | Mùa 1,TV Show của năm - giải thưởng WeChoice 2019 - tìm kiếm và tôn vinh những người có khả năng vượt qua khỏi sự hiểu biết của con người,2019-07-10 07:09:33.713869+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,165,https://i.ytimg.com/vi/X7oSydUcnCY/default.jpg,https://i.ytimg.com/vi/X7oSydUcnCY/mqdefault.jpg,https://i.ytimg.com/vi/X7oSydUcnCY/hqdefault.jpg
PLxKLMN7WdG5By5QQ0vAkUECtj-Peq0IRl,GNGT - Highlight,,2019-07-02 12:15:47.571922+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,62,https://i.ytimg.com/vi/VVkvQlbwXkk/default.jpg,https://i.ytimg.com/vi/VVkvQlbwXkk/mqdefault.jpg,https://i.ytimg.com/vi/VVkvQlbwXkk/hqdefault.jpg
PLxKLMN7WdG5C1bI5hV6HdxGOTZe_db8Bx,GNGT - Bestcut,,2019-07-02 09:56:26.884884+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,349,https://i.ytimg.com/vi/nw-rc49z0zw/default.jpg,https://i.ytimg.com/vi/nw-rc49z0zw/mqdefault.jpg,https://i.ytimg.com/vi/nw-rc49z0zw/hqdefault.jpg
